District Code,District Name,School Code,School Name,GradeSpan,Percent Unexcused Absences
04019,Manson School District,2196,Manson Elementary,K-5       ,0.08%
04019,Manson School District,5286,Manson Middle School,6-8       ,0.63%
23311,Mary M Knight School District,5444,Mary M. Knight School,PK-12     ,0.99%
33207,Mary Walker School District,2297,Springdale Elementary,PK-6      ,1.3%
31025,Marysville School District,1656,10th Street School,6-8       ,0.28%
31025,Marysville School District,4454,Allen Creek Elementary School,PK-5      ,0.72%
31025,Marysville School District,3059,Cascade Elementary,K-5       ,1.06%
31025,Marysville School District,4357,Cedarcrest School,6-8       ,2.13%
31025,Marysville School District,5123,Grove Elementary,K-5       ,1.74%
31025,Marysville School District,4323,Kellogg Marsh Elementary School,PK-5      ,1.27%
31025,Marysville School District,3964,Liberty Elementary,PK-5      ,0.86%
31025,Marysville School District,4150,Marshall Elementary,PK-5      ,1.05%
31025,Marysville School District,1862,Marysville Coop Program,K-5       ,0.45%
31025,Marysville School District,3355,Marysville Middle School,6-8       ,2.55%
31025,Marysville School District,3651,Pinewood Elementary,K-5       ,0.4%
31025,Marysville School District,5350,Quil Ceda Tulalip Elementary,K-5       ,4.91%
31025,Marysville School District,1744,School Home Partnership Program,K-8       ,7.45%
31025,Marysville School District,3187,Shoultes Elementary,K-5       ,1.56%
31025,Marysville School District,3537,Sunnyside Elementary,K-5       ,0.77%
31025,Marysville School District,2813,Totem Middle School,6-8       ,3.21%
14065,McCleary School District,2835,Mccleary Elem,PK-8      ,0.39%
32354,Mead School District,3693,Brentwood Elementary School,K-6       ,0.24%
32354,Mead School District,3562,Colbert Elementary School,K-6       ,0.04%
32354,Mead School District,3414,Evergreen Elementary School,K-6       ,0.38%
32354,Mead School District,3759,Farwell Elementary School,K-6       ,0.04%
32354,Mead School District,1858,Mead Education Partnership Prog,K-12      ,0.05%
32354,Mead School District,4133,Midway Elementary,K-6       ,0%
32354,Mead School District,3191,Mountainside Middle School,7-8       ,0.61%
32354,Mead School District,3851,Northwood Middle School,6-8       ,0.3%
32354,Mead School District,5094,Prairie View Elementary,K-5       ,0.16%
32354,Mead School District,4134,Shiloh Hills Elementary,K-6       ,1.32%
32326,Medical Lake School District,3965,Medical Lake Middle School,6-8       ,0.32%
32326,Medical Lake School District,4577,Michael Anderson Elementary,PK-5      ,0.08%
17400,Mercer Island School District,3162,Island Park Elementary,K-5       ,0.29%
17400,Mercer Island School District,3219,Islander Middle School,6-8       ,0%
17400,Mercer Island School District,2981,Lakeridge Elementary School,K-5       ,0.13%
17400,Mercer Island School District,5447,Northwood Elementary School,K-5       ,0.12%
17400,Mercer Island School District,3433,West Mercer Elementary,K-5       ,0.01%
37505,Meridian School District,2584,Irene Reither Elementary School,PK-5      ,1.14%
37505,Meridian School District,3930,Meridian Middle School,6-8       ,0.34%
24350,Methow Valley School District,2146,Liberty Bell Jr Sr High,7-12      ,1.58%
24350,Methow Valley School District,4501,Methow Valley Elementary,PK-6      ,0.16%
31103,Monroe School District,4362,Chain Lake Elementary School,PK-5      ,0.19%
31103,Monroe School District,3060,Frank Wagner Elementary,PK-5      ,1.42%
31103,Monroe School District,4594,Fryelands Elementary,PK-5      ,0.59%
31103,Monroe School District,4544,Hidden River Middle School,6-8       ,0.34%
31103,Monroe School District,2546,Maltby Elementary,K-5       ,0.41%
31103,Monroe School District,5040,Park Place Middle School,6-8       ,1.07%
31103,Monroe School District,4159,Salem Woods Elementary School,PK-5      ,0.54%
14066,Montesano School District,3661,Beacon Avenue Elementary School,1-2       ,0.08%
14066,Montesano School District,3374,Simpson Avenue Elementary,3-6       ,0.39%
21214,Morton School District,2678,Morton Elementary School,PK-6      ,0.57%
13161,Moses Lake School District,3022,Chief Moses Middle School,6-8       ,2.11%
13161,Moses Lake School District,5354,Endeavor Middle School ,6-8       ,2.81%
13161,Moses Lake School District,2673,Frontier Middle School,6-8       ,2.45%
13161,Moses Lake School District,3091,Garden Heights Elementary,K-5       ,0.66%
13161,Moses Lake School District,2833,Knolls Vista Elementary,K-5       ,1.03%
13161,Moses Lake School District,2969,Lakeview Terrace Elementary,K-5       ,0.15%
13161,Moses Lake School District,3021,Larson Heights Elementary,K-5       ,0.86%
13161,Moses Lake School District,3153,Longview Elementary,K-5       ,0.12%
13161,Moses Lake School District,2970,Midway Elementary,PK-6      ,0.58%
13161,Moses Lake School District,3779,North Elementary,K-5       ,0.13%
13161,Moses Lake School District,5251,Park Orchard Elementary School ,K-5       ,0.57%
13161,Moses Lake School District,2832,Peninsula Elementary,K-5       ,1.13%
13161,Moses Lake School District,5173,Sage Point Elementary School,K-5       ,0.08%
21206,Mossyrock School District,3238,Mossyrock Jr./Sr. High School,7-12      ,0.73%
39209,Mount Adams School District,2506,Harrah Elementary School,PK-6      ,3.87%
39209,Mount Adams School District,2389,Mount Adams Middle School,7-8       ,4.87%
37507,Mount Baker School District,2585,Acme Elementary,K-6       ,0.5%
37507,Mount Baker School District,3365,Harmony Elementary,K-6       ,0.39%
37507,Mount Baker School District,4533,Kendall Elementary,K-6       ,0.96%
37507,Mount Baker School District,3003,Mount Baker Junior High,7-8       ,1.47%
30029,Mount Pleasant School District,3459,Mount Pleasant School,K-8       ,0.03%
29320,Mount Vernon School District,4329,Centennial Elementary School Mt Vernon,K-5       ,0%
29320,Mount Vernon School District,3183,Jefferson Elementary,K-5       ,1.21%
29320,Mount Vernon School District,3821,La Venture Middle School,6-8       ,2.38%
29320,Mount Vernon School District,2579,Lincoln Elementary School,K-5       ,0.05%
29320,Mount Vernon School District,4013,Little Mountain Elementary,K-5       ,1.34%
29320,Mount Vernon School District,3001,Madison Elementary,K-5       ,0.99%
29320,Mount Vernon School District,4511,Mount Baker Middle School,6-8       ,2.53%
29320,Mount Vernon School District,2880,Washington Elementary School,K-5       ,0.47%
17903,Muckleshoot Indian Tribe,1986,Muckleshoot Tribal School,K-12      ,0.51%
31006,Mukilteo School District,4303,Challenger Elementary,PK-5      ,0.44%
31006,Mukilteo School District,4342,Columbia Elementary,PK-5      ,0.35%
31006,Mukilteo School District,4304,Discovery Elementary,K-5       ,0.89%
31006,Mukilteo School District,4469,Endeavour Elementary,K-5       ,0.36%
31006,Mukilteo School District,4231,Explorer Middle School,6-8       ,0.82%
31006,Mukilteo School District,2886,Fairmount Elementary,K-5       ,0.58%
31006,Mukilteo School District,4430,Harbour Pointe Middle School,6-8       ,0.35%
31006,Mukilteo School District,4344,Horizon Elementary,K-5       ,1.55%
31006,Mukilteo School District,5450,Lake Stickney Elementary School,K-5       ,0.32%
31006,Mukilteo School District,4164,Mukilteo Elementary,K-5       ,0.08%
31006,Mukilteo School District,4583,Odyssey Elementary,K-5       ,0.67%
31006,Mukilteo School District,3121,Olivia Park Elementary,K-5       ,0.89%
31006,Mukilteo School District,3120,Olympic View Middle School,6-8       ,0.95%
31006,Mukilteo School District,4165,Picnic Point Elementary,K-5       ,0.1%
31006,Mukilteo School District,3687,Serene Lake Elementary,K-5       ,0.46%
31006,Mukilteo School District,4425,Voyager Middle School,6-8       ,1.44%
39003,Naches Valley School District,5451,Naches Valley Elementary School,K-4       ,0.22%
39003,Naches Valley School District,2898,Naches Valley Middle School,5-8       ,0.12%
21014,Napavine School District,3288,Napavine Elementary,PK-6      ,0.34%
21014,Napavine School District,2273,Napavine Jr Sr High School,7-12      ,0.34%
25155,Naselle-Grays River Valley School District,2868,Naselle Elementary,K-5       ,0.48%
25155,Naselle-Grays River Valley School District,3295,Naselle Jr Sr High Schools,6-12      ,0.26%
26056,Newport School District,3968,Sadie Halstead Middle School,5-8       ,1.2%
26056,Newport School District,4478,Stratton Elementary,PK-4      ,0.89%
32325,Nine Mile Falls School District,4036,Lake Spokane Elementary,PK-5      ,0.73%
32325,Nine Mile Falls School District,4521,Lakeside Middle School,6-8       ,1.06%
32325,Nine Mile Falls School District,2341,Nine Mile Falls Elementary,K-5       ,0.06%
37506,Nooksack Valley School District,4428,Everson Elementary,PK-5      ,0.27%
37506,Nooksack Valley School District,4525,Nooksack Elementary,PK-5      ,0.01%
37506,Nooksack Valley School District,2687,Nooksack Valley Middle School,6-8       ,0.29%
37506,Nooksack Valley School District,2489,Sumas Elementary,PK-5      ,0.15%
14064,North Beach School District,3788,North Beach Junior High School,7-8       ,0.24%
14064,North Beach School District,3787,Ocean Shores Elementary,K-6       ,0.07%
14064,North Beach School District,3155,Pacific Beach Elementary School,K-6       ,0.74%
18400,North Kitsap School District,2798,David Wolfle Elementary,PK-5      ,0.48%
18400,North Kitsap School District,2854,Hilder Pearson Elementary,PK-5      ,0.48%
18400,North Kitsap School District,4359,Kingston Middle School,6-8       ,0.52%
18400,North Kitsap School District,3126,Middle School Options,6-8       ,0.25%
18400,North Kitsap School District,2026,Poulsbo Elementary School,PK-5      ,0.18%
18400,North Kitsap School District,2476,Poulsbo Middle School,6-8       ,0.26%
18400,North Kitsap School District,4467,Richard Gordon Elementary,PK-5      ,0.31%
18400,North Kitsap School District,3391,Suquamish Elementary School,PK-5      ,0.5%
18400,North Kitsap School District,4461,Vinland Elementary,PK-5      ,0.95%
23403,North Mason School District,2662,Belfair Elementary,K-5       ,2.24%
23403,North Mason School District,3174,Hawkins Middle School,6-8       ,2.97%
23403,North Mason School District,4320,Sand Hill Elementary,K-5       ,1.34%
25200,North River School District,2292,North River School,PK-12     ,0.73%
34003,North Thurston Public Schools,5168,Aspire Middle School,6-8       ,0.1%
34003,North Thurston Public Schools,5167,Chambers Prairie Elementary School,K-5       ,0.98%
34003,North Thurston Public Schools,3361,Chinook Middle School,6-8       ,0.69%
34003,North Thurston Public Schools,4058,Evergreen Forest Elementary,K-5       ,0.07%
34003,North Thurston Public Schools,4408,Horizons Elementary,K-5       ,0.35%
34003,North Thurston Public Schools,4409,Komachin Middle School,6-8       ,1.02%
34003,North Thurston Public Schools,3653,Lacey Elementary,K-5       ,0.7%
34003,North Thurston Public Schools,3539,Lakes Elementary School,K-5       ,0.44%
34003,North Thurston Public Schools,3262,Lydia Hawk Elementary,K-5       ,1.56%
34003,North Thurston Public Schools,4255,Meadows Elementary,PK-5      ,0.32%
34003,North Thurston Public Schools,3130,Mountain View Elementary,PK-5      ,0.27%
34003,North Thurston Public Schools,3611,Nisqually Middle School,6-8       ,1.64%
34003,North Thurston Public Schools,3709,Olympic View Elementary,K-5       ,0.49%
34003,North Thurston Public Schools,4271,Pleasant Glade Elementary,PK-5      ,1.13%
34003,North Thurston Public Schools,5452,Salish Middle School,6-8       ,0.73%
34003,North Thurston Public Schools,4368,Seven Oaks Elementary,PK-5      ,0.41%
34003,North Thurston Public Schools,2754,South Bay Elementary,K-5       ,0.13%
34003,North Thurston Public Schools,4122,Woodland Elementary,K-5       ,0.46%
17417,Northshore School District,3107,Arrowhead Elementary,PK-5      ,0%
17417,Northshore School District,4305,Bear Creek Elementary,PK-5      ,0.08%
17417,Northshore School District,4017,Canyon Creek Elementary,PK-5      ,0.2%
17417,Northshore School District,3493,Canyon Park Middle School,6-8       ,0.1%
17417,Northshore School District,3234,Cottage Lake Elementary,PK-5      ,0.25%
17417,Northshore School District,3105,Crystal Springs Elementary,PK-5      ,0.11%
17417,Northshore School District,4379,East Ridge Elementary,PK-5      ,0.19%
17417,Northshore School District,4306,Fernwood Elementary,PK-5      ,0.11%
17417,Northshore School District,4355,Frank Love Elementary,PK-5      ,0.54%
17417,Northshore School District,4124,Hollywood Hill Elementary,PK-5      ,0.15%
17417,Northshore School District,2993,Kenmore Elementary,PK-5      ,0.15%
17417,Northshore School District,3345,Kenmore Middle School,6-8       ,0.12%
17417,Northshore School District,4455,Kokanee Elementary,K-5       ,0.19%
17417,Northshore School District,3790,Leota Middle School,6-8       ,0.14%
17417,Northshore School District,3390,Lockwood Elementary,PK-5      ,0.1%
17417,Northshore School District,3344,Maywood Hills Elementary,PK-5      ,0.18%
17417,Northshore School District,3442,Moorlands Elementary,PK-5      ,0.07%
17417,Northshore School District,4021,Northshore Middle School,6-8       ,0.16%
17417,Northshore School District,1814,Northshore Networks,K-12      ,0.3%
17417,Northshore School District,3679,Shelton View Elementary,PK-5      ,0.26%
17417,Northshore School District,4371,Skyview Middle School,6-8       ,0.27%
17417,Northshore School District,4187,Sunrise Elementary,PK-5      ,0.01%
17417,Northshore School District,4516,Timbercrest Middle School,6-8       ,0.3%
17417,Northshore School District,4069,Wellington Elementary,K-5       ,0.06%
17417,Northshore School District,3287,Westhill Elementary,PK-5      ,0.2%
17417,Northshore School District,3749,Woodin Elementary,PK-5      ,0.02%
17417,Northshore School District,4377,Woodmoor Elementary,PK-5      ,0%
15201,Oak Harbor School District,3477,Broadview Elementary,K-4       ,1.46%
15201,Oak Harbor School District,3377,Crescent Harbor Elem,K-4       ,0.43%
15201,Oak Harbor School District,4328,Hillcrest Elementary,K-4       ,0.68%
15201,Oak Harbor School District,3939,North Whidbey Middle School,7-8       ,1.46%
15201,Oak Harbor School District,2696,Oak Harbor Elementary,PK-4      ,0.23%
15201,Oak Harbor School District,3274,Oak Harbor Intermediate School,5-6       ,0.59%
15201,Oak Harbor School District,3566,Olympic View Elem,K-4       ,0.58%
38324,Oakesdale School District,3205,Oakesdale Elementary School,PK-5      ,0.12%
38324,Oakesdale School District,2432,Oakesdale High School,6-12      ,1.22%
14400,Oakville School District,2922,Oakville Elementary,K-6       ,1.55%
25101,Ocean Beach School District,2517,Hilltop School,5-8       ,0.78%
25101,Ocean Beach School District,3531,Long Beach Elementary School,K-4       ,0.05%
25101,Ocean Beach School District,4039,Ocean Park Elementary,K-4       ,0.42%
14172,Ocosta School District,3025,Ocosta Elementary School,PK-6      ,0.89%
22105,Odessa School District,2769,P C Jantz Elementary,PK-6      ,0%
24105,Okanogan School District,2245,Okanogan Middle School,6-8       ,0.54%
24105,Okanogan School District,5151,Okanogan Outreach Alternative School,6-12      ,0.28%
34111,Olympia School District,2487,Boston Harbor Elementary,PK-5      ,0.16%
34111,Olympia School District,4367,Centennial Elementary Olympia,PK-5      ,0.37%
34111,Olympia School District,2448,Garfield Elementary School,PK-5      ,0%
34111,Olympia School District,3133,Jefferson Middle School,5-8       ,1.16%
34111,Olympia School District,4472,Julia Butler Hansen Elementary,PK-5      ,0.72%
34111,Olympia School District,3540,Leland P Brown Elementary,K-5       ,1.19%
34111,Olympia School District,2342,Lincoln Elementary School,K-5       ,0.47%
34111,Olympia School District,3066,Madison Elementary School,PK-5      ,1.18%
34111,Olympia School District,4458,McKenny Elementary,PK-5      ,0.23%
34111,Olympia School District,2621,McLane Elementary School,PK-5      ,0.05%
34111,Olympia School District,5078,Olympia Regional Learning Academy,K-12      ,3.38%
34111,Olympia School District,5248,Olympia Regional Learning Academy - Montessori School,K-8       ,0.46%
34111,Olympia School District,3697,Pioneer Elementary School,PK-5      ,0%
34111,Olympia School District,3696,Reeves Middle School,6-8       ,0.71%
34111,Olympia School District,2778,Roosevelt Elementary School,K-5       ,0.54%
34111,Olympia School District,4473,Thurgood Marshall Middle School,6-8       ,1.42%
34111,Olympia School District,3711,Washington Middle School,6-8       ,0.33%
24019,Omak School District,3051,E Omak Elementary,3-5       ,1.42%
24019,Omak School District,2999,N Omak Elementary,PK-2      ,1.33%
24019,Omak School District,4237,Omak Middle School,6-8       ,1.45%
21300,Onalaska School District,3239,Onalaska Elementary School,PK-5      ,0.08%
21300,Onalaska School District,4335,Onalaska Middle School ,6-8       ,0.11%
33030,Onion Creek School District,2049,Onion Creek Elementary,PK-8      ,1.58%
09013,Orondo School District,2666,Orondo Elementary and Middle School,PK-8      ,0%
24410,Oroville School District,2422,Oroville Elementary,PK-6      ,0.68%
24410,Oroville School District,2706,Oroville Middle-High School,7-12      ,0.66%
27344,Orting School District,4262,Orting Middle School,6-8       ,1.35%
27344,Orting School District,2360,Orting Primary School,PK-3      ,0.32%
27344,Orting School District,4547,Ptarmigan Ridge Elementary School,K-5       ,0.38%
01147,Othello School District,2961,Hiawatha Elementary School,K-5       ,0.39%
01147,Othello School District,2902,Lutacaga Elementary,K-5       ,0.58%
01147,Othello School District,3471,McFarland Middle School,6-8       ,1.93%
01147,Othello School District,3730,Scootney Springs Elementary,K-5       ,0.39%
01147,Othello School District,5285,Wahitis Elementary School,K-5       ,0.69%
09102,Palisades School District,2502,Palisades Elementary School,K-5       ,0.15%
38301,Palouse School District,1961,Palouse at Garfield Middle School,6-8       ,0.04%
11001,Pasco School District,5391,Barbara McClintock STEM Elementary,PK-6      ,0.35%
11001,Pasco School District,5392,Captain Gray STEM Elementary,PK-6      ,0.86%
11001,Pasco School District,5164,Chiawana High School,8-12      ,4.09%
11001,Pasco School District,3425,Edwin Markham Elementary,K-6       ,0.13%
11001,Pasco School District,4564,Ellen Ochoa Middle School,7-8       ,0.92%
11001,Pasco School District,2967,Emerson Elementary,K-6       ,0.2%
11001,Pasco School District,4155,James McGee Elementary,K-6       ,0.09%
11001,Pasco School District,2790,Longfellow Elementary,PK-6      ,0.91%
11001,Pasco School District,5394,Marie Curie STEM Elementary,3-6       ,0.63%
11001,Pasco School District,3085,Mark Twain Elementary,PK-6      ,0.25%
11001,Pasco School District,4595,Maya Angelou Elementary,PK-6      ,0.23%
11001,Pasco School District,2267,Mcloughlin Middle School,7-8       ,0.54%
11001,Pasco School District,3515,Robert Frost Elementary,PK-6      ,0.32%
11001,Pasco School District,5345,Rosalind Franklin STEM Elementary,PK-6      ,0.18%
11001,Pasco School District,4555,Rowena Chess Elementary,PK-6      ,0.4%
11001,Pasco School District,3324,Stevens Middle School,7-8       ,0.01%
11001,Pasco School District,5020,Virgie Robinson Elementary,K-6       ,0.54%
11001,Pasco School District,4526,Whittier Elementary,K-2       ,0.27%
21301,Pe Ell School District,2858,Pe Ell School,PK-12     ,0.16%
27401,Peninsula School District,3299,Artondale Elementary School,PK-5      ,0.04%
27401,Peninsula School District,4080,Discovery Elementary School,K-5       ,0%
27401,Peninsula School District,3055,Evergreen Elementary,PK-5      ,0.22%
27401,Peninsula School District,2294,Goodman Middle School,6-8       ,0.24%
27401,Peninsula School District,2944,Harbor Heights Elementary School,PK-5      ,0.27%
27401,Peninsula School District,4387,Harbor Ridge Middle School,6-8       ,0.26%
27401,Peninsula School District,4156,Key Peninsula Middle School,6-8       ,0.39%
27401,Peninsula School District,4219,Kopachuck Middle School,6-8       ,0.27%
27401,Peninsula School District,4189,Minter Creek Elementary,K-5       ,0.25%
27401,Peninsula School District,3685,Purdy Elementary School,PK-5      ,0.11%
27401,Peninsula School District,3056,Vaughn Elementary School,PK-5      ,0.09%
27401,Peninsula School District,4307,Voyager Elementary,K-5       ,0.04%
23402,Pioneer School District,4463,Pioneer Elementary School,PK-5      ,0.92%
23402,Pioneer School District,2865,Pioneer Middle School,6-8       ,0.53%
05121,Port Angeles School District,4494,Dry Creek Elementary,K-6       ,1.06%
05121,Port Angeles School District,2909,Franklin Elementary,K-6       ,0.15%
05121,Port Angeles School District,3079,Hamilton Elementary,PK-6      ,0.09%
05121,Port Angeles School District,2368,Jefferson Elementary,PK-6      ,0.29%
05121,Port Angeles School District,5115,Roosevelt Elementary School,K-6       ,0.09%
05121,Port Angeles School District,3318,Stevens Middle School,7-8       ,1.71%
16050,Port Townsend School District,4475,Blue Heron Middle School,4-8       ,1.87%
16050,Port Townsend School District,3094,Salish Coast Elementary,K-5       ,1.11%
36402,Prescott School District,3574,Prescott Elementary School,K-6       ,0.02%
36402,Prescott School District,3575,Prescott Jr Sr High,7-12      ,0.09%
03116,Prosser School District,2906,Housel Middle School,6-8       ,0.8%
03116,Prosser School District,2195,Keene-Riverview Elementary,PK-2      ,1.14%
03116,Prosser School District,3316,Prosser Heights Elementary,3-5       ,0.59%
03116,Prosser School District,2905,Whitstran Elementary,K-5       ,0.35%
38267,Pullman School District,2587,Franklin Elementary,K-5       ,0%
38267,Pullman School District,3203,Jefferson Elementary,K-5       ,0%
27003,Puyallup School District,3447,Aylen Jr High,7-9       ,0.78%
27003,Puyallup School District,3750,Ballou Jr High,6-9       ,0.52%
27003,Puyallup School District,4361,Brouillet Elementary,K-6       ,0.3%
27003,Puyallup School District,5088,Carson Elementary,PK-6      ,0.95%
27003,Puyallup School District,2575,Edgemont Jr High,7-9       ,0.47%
27003,Puyallup School District,5093,Edgerton Elementary,PK-6      ,0.31%
27003,Puyallup School District,4183,Ferrucci Jr High,7-9       ,2.17%
27003,Puyallup School District,2496,Firgrove Elementary,K-6       ,1.21%
27003,Puyallup School District,3557,Fruitland Elementary,K-6       ,1.41%
27003,Puyallup School District,5142,Glacier View Junior High,7-9       ,0.19%
27003,Puyallup School District,4360,Hunt Elementary,K-6       ,0.79%
27003,Puyallup School District,3052,Kalles Junior High,7-9       ,0.66%
27003,Puyallup School District,2870,Karshner Elementary,PK-6      ,0.79%
27003,Puyallup School District,2498,Maplewood Elementary,PK-6      ,0.14%
27003,Puyallup School District,2334,Meeker Elementary,K-6       ,0.7%
27003,Puyallup School District,3572,Mt View Elementary,K-6       ,0.08%
27003,Puyallup School District,3927,Northwood Elementary,K-6       ,0.32%
27003,Puyallup School District,4146,Pope Elementary,K-6       ,0.5%
27003,Puyallup School District,1640,Puyallup Online Academy/POA,K-12      ,5.53%
27003,Puyallup School District,4121,Ridgecrest Elementary,K-6       ,0.96%
27003,Puyallup School District,4414,Shaw Road Elementary,K-6       ,0.05%
27003,Puyallup School District,2497,Spinning Elementary,K-6       ,0.4%
27003,Puyallup School District,4443,Stahl Junior High,6-10      ,1.99%
27003,Puyallup School District,2311,Stewart Elementary,PK-6      ,0.34%
27003,Puyallup School District,3896,Sunrise Elementary,PK-6      ,0.71%
27003,Puyallup School District,2495,Waller Road Elementary,K-6       ,0.7%
27003,Puyallup School District,3558,Wildwood Elementary,PK-6      ,0.76%
27003,Puyallup School District,2519,Woodland Elementary,K-6       ,1.1%
27003,Puyallup School District,4496,Zeiger Elementary,PK-6      ,0.18%
16048,Quilcene School District,5236,PEARL,K-8       ,0.12%
16048,Quilcene School District,2474,Quilcene High And Elementary,PK-12     ,0.15%
05402,Quillayute Valley School District,1671,District Run Home School,K-12      ,1.04%
05402,Quillayute Valley School District,3737,Forks Elementary School,PK-3      ,0.25%
05402,Quillayute Valley School District,5363,Forks Intermediate School,4-6       ,1.35%
05402,Quillayute Valley School District,2349,Forks Junior-Senior High School,7-12      ,1.28%
13144,Quincy School District,3426,George Elementary,K-5       ,0.05%
13144,Quincy School District,4536,Monument Elementary,4-6       ,1.33%
13144,Quincy School District,3020,Mountain View Elementary,K-3       ,0.1%
13144,Quincy School District,2919,Pioneer Elementary,K-3       ,0.08%
17908,Rainier Prep Charter School District,5380,Rainier Prep,5-8       ,2.19%
34307,Rainier School District,4486,Rainier Elementary School,K-5       ,0%
34307,Rainier School District,2158,Rainier Middle School,6-8       ,0.33%
22009,Reardan-Edwall School District,2864,Reardan Elementary School,K-5       ,0.13%
17403,Renton School District,3587,Benson Hill Elementary School,K-5       ,0.56%
17403,Renton School District,2439,Bryn Mawr Elementary School,K-5       ,1.96%
17403,Renton School District,3034,Campbell Hill Elementary School,K-5       ,2.01%
17403,Renton School District,3337,Cascade Elementary School,K-5       ,1.52%
17403,Renton School District,3280,Dimmitt Middle School,6-8       ,2.27%
17403,Renton School District,1534,Griffin Home,6-12      ,1.8%
17403,Renton School District,3485,Hazelwood Elementary School,K-5       ,0.39%
17403,Renton School District,2640,Highlands Elementary School,K-5       ,0.57%
17403,Renton School District,5229,Honey Dew Elementary,K-5       ,1.08%
17403,Renton School District,2597,Kennydale Elementary School,K-5       ,0.77%
17403,Renton School District,2929,Lakeridge Elementary School,K-5       ,2.07%
17403,Renton School District,3586,Maplewood Heights Elementary School,K-5       ,0.21%
17403,Renton School District,3035,McKnight Middle School,6-8       ,1.09%
17403,Renton School District,3434,Nelsen Middle School,6-8       ,1.25%
17403,Renton School District,5070,Renton Academy,K-12      ,3.61%
17403,Renton School District,3521,Renton Park Elementary School,K-5       ,1.01%
17403,Renton School District,5484,Risdon Middle School,6-8       ,0.73%
17403,Renton School District,3668,Sierra Heights Elementary School,K-5       ,0.82%
17403,Renton School District,3740,Talbot Hill Elementary School,K-5       ,0.41%
17403,Renton School District,3702,Tiffany Park Elementary School,K-5       ,0.94%
10309,Republic School District,2789,Republic Elementary School,K-6       ,0.48%
10309,Republic School District,3559,Republic Junior High,7-8       ,0.58%
06122,Ridgefield School District,3321,South Ridge Elementary,K-6       ,0.37%
06122,Ridgefield School District,3786,Union Ridge Elementary,K-6       ,0.12%
06122,Ridgefield School District,3891,View Ridge Middle School,7-8       ,0.64%
01160,Ritzville School District,2719,Ritzville Grade School,K-5       ,0.24%
32416,Riverside School District,2525,Chattaroy Elementary,K-4       ,0.25%
32416,Riverside School District,4033,Riverside Elementary,PK-5      ,0.52%
32416,Riverside School District,3466,Riverside Middle School,6-8       ,0.45%
17407,Riverview School District,2485,Carnation Elementary School,PK-5      ,0%
17407,Riverview School District,3101,Cherry Valley Elementary School,K-5       ,0.1%
17407,Riverview School District,3006,Eagle Rock Multiage School,K-5       ,0.01%
17407,Riverview School District,4332,Stillwater Elementary,K-5       ,0.21%
17407,Riverview School District,4318,Tolt Middle School,6-8       ,0.06%
34401,Rochester School District,3801,Grand Mound Elementary,3-5       ,0.67%
34401,Rochester School District,3067,Rochester Middle School,6-8       ,0.48%
34401,Rochester School District,2527,Rochester Primary School,PK-2      ,0.22%
38320,Rosalia School District,3204,Rosalia Elementary & Secondary School,PK-12     ,0.21%
13160,Royal School District,5388,Royal Intermediate School,4-6       ,0.29%
28149,San Juan Island School District,2520,Friday Harbor Elementary School,K-5       ,0.14%
28149,San Juan Island School District,3011,Friday Harbor Middle School,6-8       ,0.55%
28149,San Juan Island School District,1963,Griffin Bay School,K-12      ,2.07%
14104,Satsop School District,2010,Satsop Elementary,K-6       ,0.14%
29101,Sedro-Woolley School District,2521,Big Lake Elementary School,K-6       ,0.42%
29101,Sedro-Woolley School District,3181,Cascade Middle School,7-8       ,1.02%
29101,Sedro-Woolley School District,2380,Central Elementary School,K-6       ,0.94%
29101,Sedro-Woolley School District,3403,Clear Lake Elementary School,K-6       ,0.14%
29101,Sedro-Woolley School District,3942,Evergreen Elementary School,K-6       ,1.08%
29101,Sedro-Woolley School District,2620,Lyman Elementary School,K-6       ,1.52%
29101,Sedro-Woolley School District,2774,Mary Purcell Elementary School,K-6       ,0.28%
29101,Sedro-Woolley School District,3402,Samish Elementary School,K-6       ,0.05%
39119,Selah School District,5383,John Campbell Primary School,K-2       ,0.4%
39119,Selah School District,5384,Selah Intermediate School,3-5       ,0.88%
39119,Selah School District,5385,Selah Middle School,6-8       ,0.82%
05323,Sequim School District,4378,Greywolf Elementary School,K-5       ,0.1%
05323,Sequim School District,2722,Helen Haller Elementary School,K-5       ,0.97%
05323,Sequim School District,1708,Sequim Community School,PK-12     ,0.41%
05323,Sequim School District,4519,Sequim Middle School,6-8       ,0.83%
23309,Shelton School District,3291,Bordeaux Elementary School,K-5       ,1.46%
23309,Shelton School District,4288,Choice Alternative School,K-12      ,9.25%
23309,Shelton School District,2745,Evergreen Elementary School,PK-5      ,1.44%
23309,Shelton School District,3292,Mountain View Elementary,PK-5      ,1.7%
23309,Shelton School District,4363,Oakland Bay Junior High School,8-9       ,1.47%
23309,Shelton School District,4586,Olympic Middle School,6-7       ,0.72%
17412,Shoreline School District,3674,Albert Einstein Middle School,7-8       ,0.42%
17412,Shoreline School District,2990,Briarcrest Elementary,K-6       ,0.21%
17412,Shoreline School District,3230,Brookside Elementary,K-6       ,0.23%
17412,Shoreline School District,1942,Cascade K-8 Community School,K-8       ,0.16%
17412,Shoreline School District,3104,Echo Lake Elementary School,K-6       ,0.04%
17412,Shoreline School District,3231,Highland Terrace Elementary,K-6       ,0.21%
17412,Shoreline School District,3387,Kellogg Middle School,7-8       ,0.5%
